"","utterance","condition","Mean","model","language","...1","CILow","CIHigh","YMin","YMax"
"1","color","color sufficient",0.8,"empirical","CTSL",NA,NA,NA,NA,NA
"2","color","size sufficient",0.0328947368421053,"empirical","CTSL",NA,NA,NA,NA,NA
"3","size","color sufficient",0.0230769230769231,"empirical","CTSL",NA,NA,NA,NA,NA
"4","size","size sufficient",0.282894736842105,"empirical","CTSL",NA,NA,NA,NA,NA
"5","size_color","color sufficient",0.176923076923077,"empirical","CTSL",NA,NA,NA,NA,NA
"6","size_color","size sufficient",0.684210526315789,"empirical","CTSL",NA,NA,NA,NA,NA
"7","size_color","color sufficient",0.222523003543287,"vanilla","CTSL",NA,NA,NA,NA,NA
"8","size_color","size sufficient",0.478637859317796,"vanilla","CTSL",NA,NA,NA,NA,NA
"9","color","color sufficient",0.771461738013684,"vanilla","CTSL",NA,NA,NA,NA,NA
"10","color","size sufficient",0.045078251223587,"vanilla","CTSL",NA,NA,NA,NA,NA
"11","size","color sufficient",0.00601525844302933,"vanilla","CTSL",NA,NA,NA,NA,NA
"12","size","size sufficient",0.476283889458618,"vanilla","CTSL",NA,NA,NA,NA,NA
"13","size_color","color sufficient",0.194264448578419,"continuous","CTSL",NA,NA,NA,NA,NA
"14","size_color","size sufficient",0.681552133437702,"continuous","CTSL",NA,NA,NA,NA,NA
"15","color","color sufficient",0.785280431250041,"continuous","CTSL",NA,NA,NA,NA,NA
"16","color","size sufficient",0.015773082443593,"continuous","CTSL",NA,NA,NA,NA,NA
"17","size","color sufficient",0.0203903511156094,"continuous","CTSL",NA,NA,NA,NA,NA
"18","size","size sufficient",0.302668839644103,"continuous","CTSL",NA,NA,NA,NA,NA
"19","size_color","color sufficient",0.168627292685995,"incremental","CTSL",NA,NA,NA,NA,NA
"20","size_color","size sufficient",0.246288502602168,"incremental","CTSL",NA,NA,NA,NA,NA
"21","color","color sufficient",0.79771710910482,"incremental","CTSL",NA,NA,NA,NA,NA
"22","color","size sufficient",0.192502899235375,"incremental","CTSL",NA,NA,NA,NA,NA
"23","size","color sufficient",0.0336555969701656,"incremental","CTSL",NA,NA,NA,NA,NA
"24","size","size sufficient",0.561208593300132,"incremental","CTSL",NA,NA,NA,NA,NA
"25","size_color","color sufficient",0.222510351473546,"incrementalContinuous","CTSL",NA,NA,NA,NA,NA
"26","size_color","size sufficient",0.618768701261693,"incrementalContinuous","CTSL",NA,NA,NA,NA,NA
"27","color","color sufficient",0.777136277731151,"incrementalContinuous","CTSL",NA,NA,NA,NA,NA
"28","color","size sufficient",0.0976894057267845,"incrementalContinuous","CTSL",NA,NA,NA,NA,NA
"29","size","color sufficient",0.000353144247979244,"incrementalContinuous","CTSL",NA,NA,NA,NA,NA
"30","size","size sufficient",0.283539249205942,"incrementalContinuous","CTSL",NA,NA,NA,NA,NA
"31","color","color sufficient",0.983122362869198,"empirical","English",1,0.0126582278481012,0.010548523206751,0.970464135021097,0.993670886075949
"32","color","size sufficient",0.0287648054145516,"empirical","English",2,0.011844331641286,0.0152284263959391,0.0169204737732657,0.0439932318104907
"33","size","color sufficient",0.00210970464135021,"empirical","English",3,0.00210970464135021,0.00421940928270042,0,0.00632911392405063
"34","size","size sufficient",0.465313028764805,"empirical","English",4,0.0406091370558376,0.0406514382402707,0.424703891708968,0.505964467005076
"35","size_color","color sufficient",0.0147679324894515,"empirical","English",5,0.0105485232067511,0.0105485232067511,0.00421940928270042,0.0253164556962025
"36","size_color","size sufficient",0.505922165820643,"empirical","English",6,0.038917089678511,0.038917089678511,0.467005076142132,0.544839255499154
"37","size_color","color sufficient",0.0179431242917715,"vanilla","English",7,0,0,0,0
"38","size_color","size sufficient",0.486768022451395,"vanilla","English",8,0,0,0,0
"39","color","color sufficient",0.982036423530192,"vanilla","English",9,0,0,0,0
"40","color","size sufficient",0.0306284197744661,"vanilla","English",10,0,0,0,0
"41","size","color sufficient",2.04521780371133e-05,"vanilla","English",11,0,0,0,0
"42","size","size sufficient",0.482603557774139,"vanilla","English",12,0,0,0,0
"43","size_color","color sufficient",0.0139059864969395,"continuous","English",13,0,0,0,0
"44","size_color","size sufficient",0.528490665947098,"continuous","English",14,0,0,0,0
"45","color","color sufficient",0.985343066188952,"continuous","English",15,0,0,0,0
"46","color","size sufficient",0.0266165139549274,"continuous","English",16,0,0,0,0
"47","size","color sufficient",0.00075017045989853,"continuous","English",17,0,0,0,0
"48","size","size sufficient",0.444892268757996,"continuous","English",18,0,0,0,0
"49","size_color","color sufficient",0.0168502807709585,"incremental","English",19,0,0,0,0
"50","size_color","size sufficient",0.48428870799269,"incremental","English",20,0,0,0,0
"51","color","color sufficient",0.98275292994769,"incremental","English",21,0,0,0,0
"52","color","size sufficient",0.0303429710412159,"incremental","English",22,0,0,0,0
"53","size","color sufficient",0.00039678928135128,"incremental","English",23,0,0,0,0
"54","size","size sufficient",0.485368320966094,"incremental","English",24,0,0,0,0
"55","size_color","color sufficient",0.0103122412530053,"incrementalContinuous","English",25,0,0,0,0
"56","size_color","size sufficient",0.541942188942247,"incrementalContinuous","English",26,0,0,0,0
"57","color","color sufficient",0.989548592464846,"incrementalContinuous","English",27,0,0,0,0
"58","color","size sufficient",0.0361218172556612,"incrementalContinuous","English",28,0,0,0,0
"59","size","color sufficient",0.00013889813589884,"incrementalContinuous","English",29,0,0,0,0
"60","size","size sufficient",0.4219264473897,"incrementalContinuous","English",30,0,0,0,0
