"","utterance","condition","Mean","model","language"
"1","color","color sufficient",0.983122362869198,"empirical","english"
"2","color","size sufficient",0.0287648054145516,"empirical","english"
"3","size","color sufficient",0.00210970464135021,"empirical","english"
"4","size","size sufficient",0.465313028764805,"empirical","english"
"5","size_color","color sufficient",0.0147679324894515,"empirical","english"
"6","size_color","size sufficient",0.505922165820643,"empirical","english"
"7","size_color","color sufficient",0.018171476179044,"vanilla","english"
"8","size_color","size sufficient",0.118875215689601,"vanilla","english"
"9","color","color sufficient",0.979640772824745,"vanilla","english"
"10","color","size sufficient",0.760555982584939,"vanilla","english"
"11","size","color sufficient",0.0021870452130694,"vanilla","english"
"12","size","size sufficient",0.120557891669422,"vanilla","english"
"13","size_color","color sufficient",0.00935549425068172,"continuous","english"
"14","size_color","size sufficient",0.67069144731487,"continuous","english"
"15","color","color sufficient",0.990639962760013,"continuous","english"
"16","color","size sufficient",0.040807260593656,"continuous","english"
"17","size","color sufficient",4.54298930453886e-06,"continuous","english"
"18","size","size sufficient",0.288501292053256,"continuous","english"
"19","size_color","color sufficient",0.0169304925256115,"incremental","english"
"20","size_color","size sufficient",0.484794514902589,"incremental","english"
"21","color","color sufficient",0.982675600501108,"incremental","english"
"22","color","size sufficient",0.0295355635447904,"incremental","english"
"23","size","color sufficient",0.000393906973280163,"incremental","english"
"24","size","size sufficient",0.485669921552621,"incremental","english"
"25","size_color","color sufficient",0.011738908070529,"incrementalContinuous","english"
"26","size_color","size sufficient",0.52614539545129,"incrementalContinuous","english"
"27","color","color sufficient",0.988084668850835,"incrementalContinuous","english"
"28","color","size sufficient",0.0329395050524647,"incrementalContinuous","english"
"29","size","color sufficient",0.000176129139928506,"incrementalContinuous","english"
"30","size","size sufficient",0.44090630398827,"incrementalContinuous","english"
